timestamp,stop_id,route_id,direction_id,trip_start_date,trip_id,route_long_name,agency_id,origin_stop_id,origin_stop_name,destination_stop_id,destination_stop_name,congestion_level,position_longitude,position_latitude,position_bearing,occupancy_status,vehicle_label,stop_name,stop_lon,stop_lat,current_status,aimed_arrival_time,expected_arrival_time,aimed_departure_time,expected_departure_time,stop_sequence
1643607320,504938,32189,0,20220131,144733960,"Zuid-Beijerland-Heinenoord",CXX,2295759,"Zuid-Beijerland, R. van Dorplaan",1927008,"Heinenoord, Busstation",null,4.48330545425415,51.80797576904297,0.0,null,5882,"Numansdorp, Burg. de Zeeuwstraat",4.43833,51.730522,IN_TRANSIT_TO,PT6H20M,1643606361,PT6H20M,1643606386,9
1643607320,504962,32189,0,20220131,144733960,"Zuid-Beijerland-Heinenoord",CXX,2295759,"Zuid-Beijerland, R. van Dorplaan",1927008,"Heinenoord, Busstation",null,4.48330545425415,51.80797576904297,0.0,null,5882,"Klaaswaal, Molendijk",4.440486,51.774091,IN_TRANSIT_TO,PT6H28M,1643606834,PT6H28M,1643606865,16
1643607320,504992,32189,0,20220131,144733960,"Zuid-Beijerland-Heinenoord",CXX,2295759,"Zuid-Beijerland, R. van Dorplaan",1927008,"Heinenoord, Busstation",null,4.48330545425415,51.80797576904297,0.0,null,5882,"Mijnsheerenland, Provincialeweg",4.479287,51.801562,IN_TRANSIT_TO,PT6H35M,1643607251,PT6H35M,1643607275,18
1643602228,511085,79830,1,20220130,143715940,"Nieuw-Vennep P+R Getsewoud Zuid - Amsterdam CS",CXX,2431360,"Amsterdam, Centraal Station",2437970,"Nieuw-Vennep, P+R Getsewoud Zuid",null,4.760223865509033,52.30952072143555,0.0,null,2749,"Amsterdam, Amstelveenseweg",4.858691,52.339123,STOPPED_AT,PT28H53M,1643601251,PT28H53M,1643601282,18
1643602227,511085,79854,1,20220130,143728269,"Nieuw-Vennep P+R Getsew - Amsterdam Elandsgracht",CXX,2314239,"Amsterdam, Busstation Elandsgracht",2437970,"Nieuw-Vennep, P+R Getsewoud Zuid",null,4.876527786254883,52.35490417480469,0.0,null,9352,"Amsterdam, Amstelveenseweg",4.858691,52.339123,IN_TRANSIT_TO,PT29H19M,1643602667,PT29H19M,1643602750,13
1643602228,511116,79830,1,20220130,143715940,"Nieuw-Vennep P+R Getsewoud Zuid - Amsterdam CS",CXX,2431360,"Amsterdam, Centraal Station",2437970,"Nieuw-Vennep, P+R Getsewoud Zuid",null,4.760223865509033,52.30952072143555,0.0,null,2749,"Schiphol, Cateringweg",4.799812,52.323188,STOPPED_AT,PT29H,1643601658,PT29H,1643601688,23
1643602227,511116,79854,1,20220130,143728269,"Nieuw-Vennep P+R Getsew - Amsterdam Elandsgracht",CXX,2314239,"Amsterdam, Busstation Elandsgracht",2437970,"Nieuw-Vennep, P+R Getsewoud Zuid",null,4.876527786254883,52.35490417480469,0.0,null,9352,"Schiphol, Cateringweg",4.799812,52.323188,IN_TRANSIT_TO,PT29H27M,1643603143,PT29H27M,1643603220,18
1643602228,521351,79830,1,20220130,143715940,"Nieuw-Vennep P+R Getsewoud Zuid - Amsterdam CS",CXX,2431360,"Amsterdam, Centraal Station",2437970,"Nieuw-Vennep, P+R Getsewoud Zuid",null,4.760223865509033,52.30952072143555,0.0,null,2749,"Amsterdam, Anderlechtlaan",4.814303,52.335726,STOPPED_AT,PT28H58M,1643601512,PT28H58M,1643601512,21
1643602227,521351,79854,1,20220130,143728269,"Nieuw-Vennep P+R Getsew - Amsterdam Elandsgracht",CXX,2314239,"Amsterdam, Busstation Elandsgracht",2437970,"Nieuw-Vennep, P+R Getsewoud Zuid",null,4.876527786254883,52.35490417480469,0.0,null,9352,"Amsterdam, Anderlechtlaan",4.814303,52.335726,IN_TRANSIT_TO,PT29H24M,1643603002,PT29H24M,1643603002,16
1643607326,547462,32189,1,20220131,144733959,"Zuid-Beijerland-Heinenoord",CXX,504749,"Heinenoord, Busstation",2295759,"Zuid-Beijerland, R. van Dorplaan",null,4.43951416015625,51.73754119873047,0.0,null,5885,"Klaaswaal, Molendijk",4.441004,51.772881,IN_TRANSIT_TO,PT6H29M,1643606907,PT6H29M,1643606923,4
1643607326,547499,32189,1,20220131,144733959,"Zuid-Beijerland-Heinenoord",CXX,504749,"Heinenoord, Busstation",2295759,"Zuid-Beijerland, R. van Dorplaan",null,4.43951416015625,51.73754119873047,0.0,null,5885,"Numansdorp, Burg. de Zeeuwstraat",4.43807,51.72981,IN_TRANSIT_TO,PT6H39M,1643607511,PT6H39M,1643607511,11
1643602216,547797,63689,1,20220130,143715668,"IJmuiden Dennekoplaan - Amsterdam Bijlmer ArenA",CXX,2367379,"Amsterdam, Station Bijlmer ArenA",435308,"IJmuiden, Dennekoplaan",null,4.6457295417785645,52.42985534667969,0.0,null,9816,"Schiphol, P40 Parkeerterrein",4.774923,52.321912,IN_TRANSIT_TO,PT28H24M,1643599584,PT28H24M,1643599584,23
1643602227,547797,63689,1,20220130,143715670,"IJmuiden Dennekoplaan - Amsterdam Bijlmer ArenA",CXX,2367379,"Amsterdam, Station Bijlmer ArenA",1828327,"Haarlem, Station H",null,4.693774700164795,52.29030990600586,0.0,null,9822,"Schiphol, P40 Parkeerterrein",4.774923,52.321912,IN_TRANSIT_TO,PT28H54M,1643601397,PT28H54M,1643601411,23
